ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
G515992,Amusement Center Equipment Repairing & Maintenance,إصلاح أجهزة ومعدات صالات التسلية وصيانتها
G513113,Sports Wear Trading,تجارة الملابس الرياضية
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G515945,Sports Fields &halls Equipment Trading,تجارة معدات الملاعب والصالات الرياضية وتجهيزاتها
G521904,General Trading,تجارة عامة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
I602104,Passengers Transport by Rented Buses,نقل الركاب بالحافلات المؤجرة
K711105,Car Rental,تأجير السيارات
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
G512232,Vegetables & Fruit Trading,تجارة الخضار والفواكه
K729001,Public Networking Services,خدمات شبكات تقنية المعلومات
G511003,Commercial Brokers,وسيط تجاري
J659901,Investment in Commercial Enterprises and Management,الإستثمار في المشروعات التجارية وتأسيسها وإدارتها
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
O921412,Fireworks Shows,تقديم عروض الألعاب النارية
G512203,Snack Food Trading,تجارة الأغذية الخفيفة
F454019,Cladding Works,أعمال التكسية
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
G515953,Calculators & Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G503002,Auto Accessories Trading,تجارة الأجزاء الإضافية للسيارات
G503003,Tyres and Rims Trading,تجارة إطارات السيارات
G513948,Dry Batteries Trading,تجارة البطاريات الجافة
G503006,Batteries Trading,تجارة البطاريات السائلة
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513934,Novelties Trading,تجارة التحف الفنية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
O900003,Sewage and Draining Services,خدمات الصرف الصحي وسحب المياه
F451002,Land Draining Works,أعمال تجفيف الأراضي
G515952,"Pumps, Engines, Valves and Spare Parts Trading",تجارة المضخات والمحركات والصمامات ولوازمها
K712902,Extracting & Drilling Equipments & Machinery Rental,تأجير آلات ومعدات إستخراج الثروة الطبيعية
G521904,General Trading,تجارة عامة
H552001,Restaurant,مطعم
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
G521904,General Trading,تجارة عامة
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453006,Fencing & Barbed Wire Contracting,تركيب السياج والأسلاك الشائكة وصيانتها
F453011,Metal Parts & Erections Contracting,تركيب التجهيزات والأجزاء المعدنية
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454015,Electrical Fittings and Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
F454016,Sanitary Installation and Pipes Repairing,إصلاح التمديدات والتركيبات الصحية وتمديدات المياه
F454019,Plaster & Cladding Works,أعمال التكسية
F454021,Glass and Aluminum Installation and Maintenance,تركيب الزجاج وأشغال الألمنيوم في المباني وصيانتها
F454022,Metal Products Installation and Maintenance,تركيب الأشغال المعدنية في الأبنية وصيانتها
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
G521904,General Trading,تجارة عامة
G514204,Non-Manufactured Precious Metal Trading,تجارة الذهب والمعادن الثمينة غير المشغولة
G513928,Jewellery Trading,تجارة المجوهرات والمصوغات من الذهب والفضة
E410001,Purification  Of Potable Water,تنقية مياه الشرب وتصفيتها
D172107,Flags Manufacturing,صناعة الأعلام
D289922,Metal Sections Manufacturing,صناعة المقاطع المعدنية
D273101,Steel Pipes and Fitting Manufacturing,صناعة الأنابيب الحديدية ولوازمها
G513117,Shoe Trading,تجارة الأحذية
G513931,Gifts Trading,تجارة الهدايا
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513922,Antennas Trading,تجارة الهوائيات
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513946,Musical Instruments & Requisites Trading,تجارة الآلات والأدوات الموسيقية ولوازمها
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515201,Blank Cassette Trading,تجارة شرائط التسجيل غير المسجلة
G515205,Electrical & Electronic Appliances Spare Parts Trading,تجارة قطع غيار الأجهزة الكهربائية والإلكترونية
G515101,Computer Electric Accessories Trading,تجارة تمديدات شبكات الحاسب الآلي
G513959,Agarwood and Incense Trading,تجارة العود والبخور والطيب
G521107,Foodstuff Supply Services,خدمات تموين بالمواد الغذائية
H552002,Coffee Shop,مقهى
H552001,Restaurant,مطعم
C142203,Salt Packaging,تعبئة الملح
D151307,Dry Fruit & Vegetables Packaging,تعبئة الفواكه والخضار المجففة
D151312,Nuts Roasting and Packaging,تحميص المكسرات وتمليحها وتعبئتها
D153104,Grains Packaging,تعبئة الحبوب والغلال
D154919,Coffee Roasting and Packaging,تحميص البن (القهوة) وطحنه وتعبئته
D154203,Sugar Packaging,تعبئة السكر
D154903,Tea Blending and Packaging,خلط الشاي وتعبئته
D154904,Herbs Packaging,تعبئة النباتات العشبية
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G521904,General Trading,تجارة عامة
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
I602310,Cargo Transport by Light Trucks,نقل المواد العامة بالشاحنات الخفيفة
I602305,Water Transport,نقل المياه
K712202,"Handling, Loading & Lifting Equipment Rental",تأجير معدات وآلات التحميل والرفع
D361001,Home Furniture Manufacturing,صناعة الأثاث المنزلي
D361004,Office Furniture Manufacturing,صناعة الأثاث المكتبي
G521904,General Trading,تجارة عامة
G513117,Shoe Trading,تجارة الأحذية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
Other,Other Activity,نشاط آخر
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513934,Novelties Trading,تجارة التحف الفنية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
Other,Other Activity,نشاط آخر
G513117,Shoe Trading,تجارة الأحذية
G513116,Slippers & Sandals Trading,تجارة النعال والصنادل
G504001,Motorcycles Trading,تجارة الدراجات النارية وقطع غيارها ولوازمها
Other,Other Activity,نشاط آخر
G513101,Textile Trading,تجارة المنسوجات والأقمشة
D181014,Gent's Tailoring,خياطة البدل والملابس الرجالية
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453011,Metal Parts Fixtures Contracting,تركيب التجهيزات والأجزاء المعدنية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454019,Cladding Works,أعمال التكسية
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513939,Wax Candles Trading,تجارة الشموع
G513934,Novelties Trading,تجارة التحف الفنية
G513935,Paintings & Frames Trading,تجارة البراويز والصور واللوحات الفنية
G513936,Artificial Flowers and Plants Trading,تجارة الزهور والنباتات الصناعية والمجففة
G513933,Toys & Games Trading,تجارة لعب الأطفال
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing & Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G513902,Illustrated Magazines & Catalogues Trading,تجارة المجلات والمصورات المتخصصة
G513903,"Books, Newspapers and Publications Trading",تجارة الكتب والصحف والمطبوعات الأخرى
G513904,"Stationery , Drawing & Writing Instruments Trading",تجارة الأدوات المكتبية وأدوات الكتابة والرسم
G513905,Educational Aids Trading,تجارة الوسائل والنماذج التعليمية
G513906,Invitation and Greeting Cards Trading,تجارة بطاقات التهنئة والدعوة
G512218,Ice Cream Trading,تجارة المثلجات
G512208,Salted and Preserved Fish and Seafood Trading,تجارة الأسماك والأغذية البحرية المملحة والمحفوظة
G512200,Food & Beverages Trading,تجارة المواد الغذائية والمشروبات
G512204,Dairy Products Trading,تجارة الألبان ومنتجاتها
G512220,Ghee and Vegetable Oil Trading,تجارة السمن والزيوت النباتية
G512206,Fresh & Chilled & Frozen Meat Trading,تجارة اللحوم الطازجة والمبردة والمجمدة
G512207,Frozen Fish & Seafood Trading,تجارة الأسماك والأغذية البحرية المجمدة
I602310,Cargo Transport by Light Trucks,نقل المواد العامة بالشاحنات الخفيفة
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
G525102,"Garments, Textiles and Gifts E-Trading",المتاجرة الإلكترونية بالملبوسات والمنسوجات والهدايا
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454019,Plaster & Cladding Works,أعمال التكسية
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513928,Jewellery Trading,تجارة المجوهرات والمصوغات من الذهب والفضة
G513929,Pearls & Precious Stones Trading,تجارة اللؤلؤ والأحجار الكريمة
G512205,Canned and Preserved Food Trading,تجارة المواد الغذائية المعلبة والمحفوظة
Other,Other Activity,نشاط آخر
G512223,Mineral Water Trading,تجارة المياه المعدنية
G512225,Juice Trading,تجارة العصائر
G512229,Dried Vegetables & Fruit Trading,تجارة الخضار والفواكه المجففة
G512232,Vegetables & Fruit Trading,تجارة الخضار والفواكه
G512219,Flour Trading,تجارة الدقيق
F453014,Electrical Fitting Contracting,أعمال التمديدات الكهربائية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G514934,Sewing and Embroidery Requisites Trading,تجارة لوازم الخياطة والتطريز
G513931,Gifts Trading,تجارة الهدايا
G513934,Novelties Trading,تجارة التحف الفنية
G513945,Suitcases & Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
J659204,Remittance of Local and Foreign Currencies,تنفيذ عمليات التحويل بالعملة المحلية والعملات الأجنبية
J659913,Travellers Cheques Exchangers,بيع وشراء شيكات المسافرين
J659911,Money Exchangers,بيع وشراء العملات الأجنبية
J659901,Investment in Commercial Enterprises & Management,الإستثمار في المشروعات التجارية وتأسيسها وإدارتها
J659902,Investment in Industrial Enterprises & Management,الإستثمار في المشروعات الصناعية وتأسيسها وإدارتها
J659903,Investment in Agricultural Enterprises & Management,الاستثمار في المشروعات الزراعية وتأسيسها وادارتها
K701001,Buying and selling of real estate,شراء الأراضي والعقارات وبيعها
K701014,Self- owned Property Management Services,خدمات تأجير وإدارة العقارات الخاصة
K749920,Facilities Management Services,خدمات إدارة منشآت
K711105,Car Rental,تأجير السيارات
H552001,Restaurant,مطعم
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F453002,Lifts & Escalators Contracting,تركيب المصاعد والسلالم المتحركة
G514300,Building & Construction Materials Trading,تجارة مواد البناء
J659901,Investment in Commercial Enterprises and Management,الإستثمار في المشروعات التجارية وتأسيسها وإدارتها
J659902,Investment in Industrial Enterprises and Management,الإستثمار في المشروعات الصناعية وتأسيسها وإدارتها
J659903,Investment in Agricultural Enterprises and Management,الاستثمار في المشروعات الزراعية وتأسيسها وادارتها
Other,Other Activity,نشاط آخر
J659914,Investment in Healthcare Enterprises and Development,الإستثمار في المشروعات الصحية وتأسيسها وإدارتها
J659916,Investment in Educational Enterprises & Management,الاستثمار في المشروعات التعليمية وتأسيسها وإدارتها
J659917,Investment in Tourist Enterprises & Management,الاستثمار في المشروعات السياحية و تأسيسها و إدارتها
J659910,Investment in Water Enterprises and Development,الإستثمار في مشروعات المياه وتطويرها
G521904,General Trading,تجارة عامة
G521904,General Trading,تجارة عامة
I630901,Freight Broker,وسيط شحن
G513946,Musical Instruments and Requisites Trading,تجارة الآلات والأدوات الموسيقية ولوازمها
G521102,Supermarket,مجمع إستهلاكي (سوبرماركت)
J659917,Investment in Tourist Enterprises & Management,الاستثمار في المشروعات السياحية و تأسيسها و إدارتها
J659901,Investment in Commercial Enterprises and Management,الإستثمار في المشروعات التجارية وتأسيسها وإدارتها
G512201,Health Food Trading,تجارة الأغذية الصحية
G512104,Medical Herbs Trading,تجارة النباتات والأعشاب الطبية
G513967,Pharmacy,صيدلية
D181021,Gents Wears Tailoring & Embroidery Workshop,مشغل خياطة وتطريز رجالي
G513101,Textile Trading,تجارة المنسوجات والأقمشة
K749914,Fashion Designing,تصميم الأزياء والملابس
G513111,Men's Garment Trading,تجارة الملابس الجاهزة الرجالية
G513115,Uniforms Trading,تجارة الملابس والأزياء الرسمية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G515201,Blank Cassettes Trading,تجارة شرائط التسجيل غير المسجلة
G515206,Telephones and Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
Other,Other Activity,نشاط آخر
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Plaster & Cladding Works,أعمال التكسية
F454021,Glass & Aluminum Installation & Maintenance,تركيب الزجاج وأشغال الألمنيوم في المباني وصيانتها
F453001,"Air-Conditioning, Ventilations & Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G521904,General Trading,تجارة عامة
G514209,Workshop Hardware and Tools Trading,تجارة عدد وأدوات الورش
G514314,Electrical Fittings Trading,تجارة أدوات التمديدات الكهربائية
G514313,Sanitary Ware Trading,تجارة الأدوات الصحية
F453001,"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",تركيب أنظمة التكييف والتهوية وتنقية الهواء وصيانتها
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
G513956,Para Pharmaceutical Products Trading,تجارة المستحضرات الصيدلانية غير الدوائية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513966,Soap & Hair Care Products Trading,تجارة الصابون ومستحضرات العناية بالشعر
G519010,Laboratories Tools & Requisites Trading,تجارة أدوات المختبرات والمعامل ومستلزماتها
G515947,"Medical, Surgical Equipment & Instruments Trading",تجارة أجهزة الطب والجراحة وأدواتها
G513965,Persons with Special Needs Equipment Trading,تجارة أدوات ذوي الحاجات الخاصة ولوازمهم
G513963,Baby Care Requisites Trading,تجارة لوازم العناية بالأطفال
F454019,Plaster & Cladding Works,أعمال التكسية
G514204,Non-Manufactured Precious Metal Trading,تجارة الذهب والمعادن الثمينة غير المشغولة
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454004,Painting Contracting,أعمال الأصباغ والدهانات
G521103,Grocery Store,بقالة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513111,Men's Garment Trading,تجارة الملابس الجاهزة الرجالية
D181015,Arab Wears Tailoring,خياطة الملابس الرجالية العربية
I641102,Letters and Post Items Delivery,نقل بعائث بريد الرسائل
I641106,Documents Delivery,نقل الوثائق والمستندات
I641105,Parcels Delivery,نقل الطرود
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G512201,Health Food Trading,تجارة الأغذية الصحية
I630403,Shipping Lines Agents,وكيل خطوط ملاحية
K749915,Hotel Management,إدارة فنادق
Other,Other Activity,نشاط آخر
I630406,Hajj and Umra  Organizing,تنظيم رحلات الحج والعمرة
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G514314,Electrical Fittings Trading,تجارة أدوات التمديدات الكهربائية
G513917,Light Fitting and Fixtures Trading,تجارة أدوات الإنارة ولوازمها
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
F454010,Engraving & Ornamentation  Works,أعمال النقش والزخرفة
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454004,Painting Contracting,أعمال الأصباغ والدهانات
I630103,Cargo Packaging,خدمات حزم البضائع
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
G513913,Cookers & Cookstoves Trading,تجارة المواقد والأفران والطابخات
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators, Washing Machines and Household Electrical Appliances Trading",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513917,Light Fittings & Fixtures Trading,تجارة أدوات الإنارة ولوازمها
G514314,Electrical Fittings Trading,تجارة أدوات التمديدات الكهربائية
G515930,Lighting Equipment and Requisites Trading,تجارة معدات الإنارة ولوازمها
G515952,"Pumps, Engines, Valves and Spare Parts Trading",تجارة المضخات والمحركات والصمامات ولوازمها
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
I630310,Ship Management & Operation,إدارة السفن وتشغيلها
I611005,Ship Charter,تأجير السفن
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G515206,Telephones and Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G513933,Toys & Games Trading,تجارة لعب الأطفال
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515953,Calculators and Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G521108,Catering Services,تعهدات تزويد بالوجبات الغذائية الجاهزة
I630202,Cold Storage,التخزين المبرد
I630203,General Warehousing,التخزين في مخازن عامة
I630310,Ship Management and Operation,إدارة السفن وتشغيلها
G521911,Ship Chandlers,تعهدات تزويد السفن والبواخر
G521107,Foodstuff Supply Services,خدمات تموين بالمواد الغذائية
G515206,Telephones and Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513933,Toys and Games Trading,تجارة لعب الأطفال
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G513947,Photographic Equipment and Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515213,Satellite Receiving Equipment Trading,تجارة معدات إستقبال القنوات التلفزيونية الفضائية
D242301,Medicine Manufacturing,صناعة الأدوية
G513953,Drug Store,مستودع طبي
G513956,Para-Pharmaceutical Products Trading,تجارة المستحضرات الصيدلانية غير الدوائية
G513957,"Medical, Surgical Articles & Requisites  Trading",تجارة الأدوات والمستلزمات الطبية العلاجية والجراحية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G515910,Scientific & Laboratory Equipment Trading,تجارة المعدات والأجهزة العلمية والمعملية
G515947,"Medical, Surgical Equipment and Instruments Trading",تجارة أجهزة الطب والجراحة وأدواتها
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513931,Gifts Trading,تجارة الهدايا
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513116,Slippers and Sandals Trading,تجارة النعال والصنادل
G515954,"Type Writers, Photocopiers & Spare Parts Trading",تجارة الآلات الكاتبة والناسخة وقطع غيارها
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
Other,Other Activity,نشاط آخر
F452001,Building Contracting,مقاولات البناء
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
G514202,Basic Steel Products Trading,تجارة منتجات الحديد الأساسية
G514206,"Bolts, Nuts, Screws and Nails Trading",تجارة أدوات الرباط ولوازمها
G514209,Workshop Hardware and Tools Trading,تجارة عدد وأدوات الورش
G514300,Building & Construction Materials Trading,تجارة مواد البناء
G514314,Electrical Fittings Trading,تجارة أدوات التمديدات الكهربائية
G521904,General Trading,تجارة عامة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513104,Oriental Carpets Trading,تجارة السجاد الشرقي
G513105,Carpets Trading,تجارة السجاد
G513923,Home Furniture Trading,تجارة الأثاث المنزلي
G514322,Wall Paper Trading,تجارة ورق الجدران
G513124,Curtains and Upholstery Fabrics Trading,تجارة أقمشة الستائر وأقمشة التنجيد
H552001,Restaurant,مطعم
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G513117,Shoe Trading,تجارة الأحذية
F452021,General Maintenance,الصيانة العامة
F452001,Building Contracting,مقاولات البناء
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
